id,title,original_title,release_date,vote_average,vote_count,popularity,genres,poster_path,overview,source
687163,프로젝트 헤일메리,Project Hail Mary,2026-03-15,8.7,5122,152.4552,SF|모험,https://image.tmdb.org/t/p/w500/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg,눈을 떠보니 아득한 우주의 한가운데에서 깨어난 중학교 과학교사 그레이스는 희미한 기억 속에서 자신이 죽어가는 태양으로부터 지구와 인류를 살릴 마지막 희망으로 이곳에 왔다는 사실을 알게 된다. 잃어버린 기억으로 인해 모든 것이 혼란스러운 상황에서 그레이스는 우연히 우주 한복판에서 같은 목적으로 온 뜻밖의 존재 로키를 만나게 되고 그레이스와 로키는 각 두 행성의 운명을 건 마지막 미션을 수행하러 떠나게 되는데…,movie/popular
1439930,퍼니셔 원 라스트 킬,The Punisher: One Last Kill,2026-05-12,8.349,1616,144.7455,액션|드라마|범죄,https://image.tmdb.org/t/p/w500/dfKKipbQswChklXaaVTh6FP3oaJ.jpg,복수 이상의 의미를 찾아 헤매던 프랭크 캐슬은 뜻밖의 싸움을 다시 시작하게 된다.,movie/popular
1122573,인 더 그레이,In the Grey,2026-05-13,6.6,234,153.9684,액션|스릴러,https://image.tmdb.org/t/p/w500/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,"그림자 속에서 은밀히 살아가는 최정예 비밀 작전팀이 있다. 냉혹한 독재자가 10억 달러에 달하는 재산을 훔치자 그들은 그것을 되찾기 위해 투입된다. 그러나 그 임무는 전략과 기만, 생존이 뒤엉킨 치명적인 게임으로 번지는 불가능한 강탈 작전이 된다.",movie/popular
1358005,오피스 로맨스,Office Romance,2026-06-04,6.512,204,132.655,로맨스|코미디,https://image.tmdb.org/t/p/w500/udcNzdIqZMiVYYvq50XDEPhpJks.jpg,비밀스러운 사내 연애에 빠진 두 워커홀릭이 감정에 이끌리며 예상치 못한 곤경에 빠진다.,movie/popular
1604143,나는 신혼 너는 재혼,나는 신혼 너는 재혼,2021-08-12,0.0,0,229.4319,드라마,https://image.tmdb.org/t/p/w500/wTFF1SFTDYL7M1yWjY0K8Ga5pZS.jpg,,movie/popular
1582770,두란다르: 더 리벤지,धुरंधर: द रिवेंज,2026-03-18,7.3,118,137.8492,액션|범죄|스릴러,https://image.tmdb.org/t/p/w500/hsJG5r6etrMNwW00BVp4NC7zi67.jpg,카라치의 암흑가를 상대로 한 함자의 싸움이 계속된다. 인도 역대 최고 흥행을 기록한 힌디어 영화 《Dhurandhar》의 속편,movie/popular
1380291,톰 클랜시의 잭 라이언: 고스트 워,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,7.086,568,123.7577,액션|스릴러,https://image.tmdb.org/t/p/w500/3PufRWSVgSVwIr9M5YOmx4gu5Fu.jpg,"잭 라이언은 국제 비밀 작전으로 치명적인 음모의 실체가 드러나면서 마지못해 다시 첩보의 세계로 끌려 들어간다. 시간과의 싸움 속에서 그는 CIA 동료 마이크 노벰버, 제임스 그리어, 그리고 냉철한 MI6 요원 에마 말로와 함께 통제권을 벗어난 블랙옵스 부대에 맞서며, 지금껏 가장 뼈아프고 혹독한 작전을 펼쳐나간다.",movie/popular
976912,그래픽 디자이어,Graphic Desires,2023-08-31,6.935,92,133.3214,스릴러|범죄,https://image.tmdb.org/t/p/w500/8EHehEMsJVIPp2n2ROhZU8dbpJC.jpg,친구의 소개로 데이팅 앱에 가입한 '프랭크'  연인 몰래 앱을 통해 만난 여성에게 강한 성적 끌림을 느낀 그는 다시 그녀를 찾지만 여자는 사라지고 계정도 비활성화된다.  현실과 가상을 넘나들며 그녀를 찾아 헤매는 동안 그는 점점 데이팅 앱에 중독되고 결국 예기치 못한 사건에 휘말리고 마는데∙∙∙,movie/popular
1084244,토이 스토리 5,Toy Story 5,2026-06-17,7.222,18,132.4506,애니메이션|가족|코미디|모험,https://image.tmdb.org/t/p/w500/AqrJx3nVVMlKWXGaPIH32GzjEJA.jpg,"“시대는 변해도, 친구들은 영원하다"" 스마트 태블릿 ’릴리패드'의 등장으로 온라인 세계에 모여들게 된 아이들. 친구들과 어울리기 위해 ‘보니’에게도 ‘릴리패드’가 생기게 되고, 장난감들은 점점 일상에서 밀려나게 된다. '제시'는 이 위기를 해결하기 위해 자신만의 길을 떠났던 '우디'에게 도움을 요청하게 되는데… 다시 뭉친 '제시', '우디', '버즈'는 '보니'의 마음을 되돌리고 ‘보니’의 진정한 친구를 찾아줄 수 있을까? ""장난감 VS 전자기기! 새로운 세상 속, 멈춰있던 장난감들이 다시 움직이기 시작한다!""",movie/popular
1419406,포풍추영,捕风追影,2025-08-16,7.768,859,121.4666,액션|범죄|드라마|스릴러,https://image.tmdb.org/t/p/w500/uiIT7CsJ4V7rMnTqy7xYvj9IRhs.jpg,"첨단 감시 시스템과 삼엄한 보안망을 무력화하고, 수십억을 탈취한 정체불명의 범죄 조직. 통제 불능의 범죄에 마카오 경찰은 결국 은퇴한 전설의 범죄 추적 전문가 ‘황더중’에게 도움을 요청한다. 황더중은 신입 경찰 ‘허추궈’와 함께 최정예 감시반을 구성해, 범죄 조직의 수장 ‘푸룽성’을 추적하기 시작한다. 하지만 수사망이 조여올수록 상대의 덫과 함정은 더욱 교묘해지고, 예상치 못한 반격 속에 황더중 역시 추적당하기 시작하는데…",movie/popular
