id,runtime,budget,revenue,status,tagline,director,cast_top3,collection_name,production_countries
424,195,22000000,321365567,Released,한 생명을 구한 자는 세계를 구한 것이다,스티븐 스필버그,"리암 니슨, 벤 킹슬리, 랄프 파인즈",,United States of America
389,97,397751,4360000,Released,,시드니 루멧,"마틴 발삼, John Fiedler, 리 J. 콥",,United States of America
129,124,19000000,274925095,Released,금지된 세계의 문이 열렸다,미야자키 하야오,"히이라기 루미, 이리노 미유, 나츠키 마리",,Japan
155,152,185000000,1004558444,Released,이 도시에 정의는 죽었다,크리스토퍼 놀란,"크리스찬 베일, 히스 레저, 에런 엑하트",다크 나이트 시리즈,"United Kingdom, United States of America"
19404,190,13200000,100000000,Released,,Aditya Chopra,"카졸, 샤 룩 칸, Amrish Puri",,India
497,189,60000000,286801374,Released,,프랭크 다라본트,"톰 행크스, 데이비드 모스, 보니 헌트",,United States of America
122,199,94000000,1118888979,Released,곤도르의 진정한 왕이 돌아왔다,피터 잭슨,"일라이저 우드, 이안 맥켈런, 비고 모텐슨",반지의 제왕 시리즈,"New Zealand, United States of America"
496243,131,11363000,257591776,Released,행복은 나눌수록 커지잖아요,봉준호,"송강호, 이선균, 조여정",,South Korea
1181678,100,0,0,Released,,Ihtzi Hurtado,"Ludwika Paleta, Juanpa Zurita, 헤르난 멘도자",¿Quieres ser mi... ? - Colección,United States of America
680,154,8000000,213928762,Released,쿠엔틴 타란티노만의 블랙 코미디,쿠엔틴 타란티노,"존 트라볼타, 사무엘 L. 잭슨, 우마 서먼",,United States of America
372058,106,7500000,405320132,Released,"아직 만난 적 없는 너를, 찾고 있어",신카이 마코토,"카미키 류노스케, 카미시라이시 모네, 나리타 료",,Japan
429,161,1200000,38900000,Released,,세르조 레오네,"클린트 이스트우드, 일라이 월릭, 리 밴클리프",,"United States of America, Italy, Spain, Germany"
13,142,55000000,677387716,Released,인생은 초콜릿 상자와 같은 거야. 네가 무엇을 고를지 아무도 모른단다,로버트 저메키스,"톰 행크스, 로빈 라이트, 게리 시나이즈",,United States of America
769,146,25000000,47072327,Released,마피아 영화의 분수령,마틴 스콜세지,"로버트 드 니로, 레이 리오타, 조 페시",,United States of America
346,207,2000000,105000000,Released,위대한 7인,구로사와 아키라,"미후네 토시로, 시무라 타카시, 이나바 요시오",,Japan
12477,89,3700000,842132,Released,"14살 오빠, 4살 여동생... 오누이는 함께라서 행복했습니다.",다카하타 이사오,"辰巳努, 白石綾乃, 志乃原良子",,Japan
637,116,20000000,230098753,Released,깐느가 그랑프리를 헌사한 이탈리아 영화천재의 걸작,로베르토 베니니,"로베르토 베니니, 니콜레타 브라스키, 조르지오 깐따리니",,Italy
14537,135,0,0,Released,,고바야시 마사키,"나카다이 타츠야, 이시하마 아키라, 이와시타 시마",,Japan
550,139,63000000,100853753,Released,믿어왔던 상식과 규칙에 통렬한 카운터를 날리는 스타일리시 액션 무비!,데이비드 핀처,"에드워드 노튼, 브래드 피트, 헬레나 본햄 카터",,"Germany, United States of America"
120,227,93000000,871368364,Released,"마지막 반지를 차지하는 자, 모든 힘을 지배하게 될 것이다",피터 잭슨,"일라이저 우드, 이안 맥켈런, 비고 모텐슨",반지의 제왕 시리즈,"New Zealand, United States of America"
598,129,3300000,30641770,Released,"신이 버린 도시, 끝까지 남는 자만이 군림할 수 있다",페르난도 메이렐레스,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen",,"Brazil, France, Germany"
11216,124,5000000,35962062,Released,영화가 세상의 전부인 소년 토토와 낡은 마을 극장의 영사기사 알프레도의 애틋한 우정,주세페 토르나토레,"필립 느와레, 자끄 페렝, 마르코 레오나르디",,"Italy, France"
121,177,79000000,926287400,Released,새로운 힘이 떠오른다,피터 잭슨,"일라이저 우드, 이안 맥켈런, 비고 모텐슨",반지의 제왕 시리즈,"New Zealand, United States of America"
539,109,806947,50000000,Released,"그들은 알게 될 거야, 난 파리 한 마리도 해치지 못하는 사람이란 걸",알프레드 히치콕,"안소니 퍼킨스, 자넷 리, 베라 마일스",싸이코 시리즈,United States of America
510,133,3000000,108981275,Released,"감시와 처벌, 그리고 휴머니즘",밀로스 포먼,"잭 니콜슨, Brad Dourif, 루이즈 플레쳐",,United States of America
40096,104,0,4903192,Released,,Guel Arraes,"Matheus Nachtergaele, Selton Mello, 페르난다 몬테네그루",O Auto da Compadecida: Coleção,Brazil
1218925,100,4100000,191400000,Released,"아무도 모르는, 소녀의 마음",요시하라 타츠야,"토야 키쿠노스케, 쿠스노키 토모리, 우에다 레이나",チェンソーマン シリーズ,Japan
255709,123,0,0,Released,가장 아픈 곳에서 피어난 가장 따뜻한 이야기,이준익,"설경구, 엄지원, 이레",,South Korea
667257,88,0,0,Released,,에르네스토 콘트레라스,"Nora Velázquez, Benny Emmanuel, Luisa Huertas",,Mexico
324857,117,90000000,394884133,Released,새로운 스파이더맨 평행세계의 시작,"밥 퍼시케티, 피터 램지, 로드니 로스먼","셔믹 무어, 제이크 존슨, 헤일리 스타인펠드",스파이더맨: 뉴 유니버스 시리즈,United States of America
1891,124,18000000,538400000,Released,모험은 계속된다,어빈 케쉬너,"마크 해밀, 해리슨 포드, 캐리 피셔",스타워즈 시리즈,United States of America
770156,87,0,0,Released,,Rob Diamond,"Scarlett Diamond, Vincent Vargas, Adam Hightower",,United States of America
378064,130,0,30819442,Released,나는 네가 정말 싫었다. 너를 다시 만나기 전까진…,야마다 나오코,"이리노 미유, 하야미 사오리, 유우키 아오이",,Japan
4935,119,24000000,236049757,Released,소녀가 마법에 걸린 순간 마법사의 성문이 열렸다,미야자키 하야오,"바이쇼 치에코, 기무라 타쿠야, 미와 아키히로",,Japan
696374,122,0,0,Released,,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Kurt McKinney",가브리엘의 지옥 시리즈,United States of America
807,127,33000000,327311859,Released,"계획적인 시나리오, 벗어날 수 없는 트릭",데이비드 핀처,"모건 프리먼, 브래드 피트, 기네스 팰트로",,United States of America
311,229,30000000,5500000,Released,인간은 결국 인간이다,세르조 레오네,"로버트 드 니로, 제임스 우즈, 엘리자베스 맥거번",,"United States of America, Italy"
244786,106,3300000,50307484,Released,천재를 갈망하는 광기가 폭발한다,데이미언 셔젤,"마일스 텔러, J.K. 시몬스, 폴 라이저",,United States of America
423,150,35000000,120098945,Released,영혼을 움직이는 감동의 선율,로만 폴란스키,"에이드리언 브로디, 토마스 크레치만, Frank Finlay",,"France, Germany, Poland, United Kingdom"
27205,148,160000000,839030630,Released,생각을 훔치는 거대한 전쟁,크리스토퍼 놀란,"레오나르도 디카프리오, 조셉 고든레빗, 와타나베 켄",,"United Kingdom, United States of America"
12493,142,250000,0,Released,,구로사와 아키라,"미후네 토시로, 나카다이 타츠야, 카가와 쿄코",,Japan
724089,106,0,0,Released,,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser",가브리엘의 지옥 시리즈,
274,118,19000000,272742922,Released,이제 양들의 울음은 멈추었는가,조나단 드미,"조디 포스터, 안소니 홉킨스, 스콧 글렌",한니발 렉터 시리즈,United States of America
